test_title,client_name,run_duration_ms,ingestion_timestamp,test_file,test_name,test_opcode,test_params,block_limit_million,opcount
test_bls12_381.py::test_bls12_381[fork_Osaka-blockchain_test-bls12_g1add-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,35557,2026-03-19 07:23:10.177852497+00:00,test_bls12_381,test_bls12_381,BLS12_G1ADD,bls12_g1add,15,30377.0
test_bls12_381.py::test_bls12_381[fork_Osaka-blockchain_test-bls12_g2add-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,63189,2026-03-21 04:12:37.993507262+00:00,test_bls12_381,test_bls12_381,BLS12_G2ADD,bls12_g2add,15,20853.0
test_ecrecover.py::test_ecrecover[fork_Osaka-blockchain_test-ecrecover-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,22247,2026-03-21 00:03:40.016181368+00:00,test_ecrecover,test_ecrecover,ECRECOVER,ecrecover,15,4805.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_0-mem_size_0-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,7631,2026-03-20 08:20:21.000855898+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_0-mem_size_0,15,394157.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_0-mem_size_1024-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,7726,2026-03-18 21:50:23.248799742+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_0-mem_size_1024,15,394151.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_0-mem_size_256-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,6933,2026-03-19 12:40:42.812224752+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_0-mem_size_256,15,394153.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_0-mem_size_32-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,7928,2026-03-20 05:40:05.824121451+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_0-mem_size_32,15,394154.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_1024-mem_size_0-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,32559,2026-03-19 03:21:24.663262065+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_1024-mem_size_0,15,65125.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_1024-mem_size_1024-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,33754,2026-03-20 08:37:36.396386544+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_1024-mem_size_1024,15,65125.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_1024-mem_size_256-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,31858,2026-03-20 23:22:12.843722164+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_1024-mem_size_256,15,65125.0
